Symbol,Sector,EPS Next 5Y,Market Cap,Total Assets,Total Debts,Free Cash Flow,Beta,P/E Ratio,DCF,Current Price,DCF/Current Price,Total Debt/Market Cap,RSI,ATR
AAPL,Technology,0.1793,2.22E+12,3.24E+11,1.14E+11,73365000000,1.208152,29.919085,126.8589553,134.78,0.941229821,5%,66.01,1.99
ADBE,Technology,0.1847,2.77E+11,24284000000,5500000000,5308000000,0.947826,50.23921,388.5409627,588.8,0.659886146,2%,78.6,11.04
BA,Industrials,0.1233,1.45E+11,1.52E+11,75087000000,-19713000000,1.627717,,-718.1073389,239.96,-2.992612681,52%,45.88,5.74
BYND,Consumer Defensive,-0.069,9334028288,468006000,no data,-115461000,1.61423,,no data,155.7,#VALUE!,#VALUE!,63.55,7.77
CAT,Industrials,0.1906,1.18E+11,78324000000,25674000000,4212000000,0.916304,34.587463,no data,216.27,#VALUE!,22%,37.77,5.49
DIS,Communication Services,0.517,3.24E+11,2.02E+11,62337000000,3596000000,1.196195,,no data,176.57,#VALUE!,19%,49.8,2.44
DOCU,Technology,0.56,54397935616,2336507000,972773000,214559000,0.817375,,264.6558338,284.15,0.931394805,2%,76.64,8.73
ENPH,Technology,0.4167,23800248320,1200102000,401907000,195776000,1.145108,260.60922,no data,188.33,#VALUE!,2%,79.73,7.92
ETSY,Consumer Cyclical,0.528,23488634880,2404489000,1198042000,676631000,1.548913,52.485092,830.6424783,198.41,4.186495027,5%,71.96,6.74
FB,Communication Services,0.237,9.68E+11,1.59E+11,no data,23632000000,1.3,29.249422,no data,355.64,#VALUE!,#VALUE!,70.36,6.87
GS,Financial,0.168,1.25E+11,1.16E+12,5.15E+11,-20037000000,1.494021,9.160167,-1862.256782,368.71,-5.05073576,412%,51.49,8.08
HD,Consumer Cyclical,0.1057,3.33E+11,70581000000,41563000000,16376000000,1.048913,22.862661,no data,314.28,#VALUE!,12%,54.09,4.54
JPM,Financial,0.0128,4.66E+11,3.39E+12,7.83E+11,no data,1.191847,12.219401,no data,154.33,#VALUE!,168%,44.09,2.91
LMT,Industrials,0.0511,1.06E+11,50710000000,15606000000,6417000000,0.980978,15.414195,no data,380.07,#VALUE!,15%,44.53,4.81
MCD,Consumer Cyclical,0.2043,1.73E+11,52626800000,39813100000,4624400000,0.627717,33.72805,no data,231.09,#VALUE!,23%,44.62,2.68
MSFT,Technology,0.1673,2.00E+12,3.01E+11,73357000000,45234000000,0.78913,36.116108,219.5491859,268.72,0.817018405,4%,69.49,3.66
NKE,Consumer Cyclical,0.406,2.44E+11,37740000000,15945000000,no data,0.853804,43.356743,no data,152.36,#VALUE!,7%,77.15,3.44
NVAX,Heathcare,0,14062375936,1582479000,574147000,-97163000,1.554891,,-11.38509738,194.5,-0.058535205,4%,56.38,12.95
NVDA,Technology,0.2684,4.74E+11,28791000000,7481000000,4694000000,1.366847,89.98109,342.6664113,799.4,0.428654505,2%,80.13,22.47
PYPL,Financial,0.2352,3.40E+11,70379000000,11068000000,4988000000,1.157065,65.99818,177.5928112,293.65,0.604777154,3%,72,6.26
QCOM,Technology,0.2729,1.55E+11,35594000000,18648000000,4407000000,1.341304,19.712158,171.8581235,139.72,1.230018061,12%,62.85,2.43
SPOT,Communication Services,,50872721408,6326000000,no data,181000000,1.518669,,no data,271.56,#VALUE!,#VALUE!,68.88,7.99
SPY,Financial,,3.92E+11,no data,no data,no data,,,no data,427.47,#VALUE!,#VALUE!,61.92,3.26
SQ,Technology,0.5641,1.09E+11,9869550000,3230475000,243201000,2.416304,335.58044,94.4746121,246.6,0.383108727,3%,64.2,8.25
TGT,Consumer Defensive,0.1145,1.19E+11,51248000000,14153000000,7876000000,1.003804,19.639942,no data,241.26,#VALUE!,12%,76.98,3.2
TQQQ,Financial,,,no data,no data,no data,,,no data,121.67,#VALUE!,#VALUE!,71.85,3.66
UNP,Industrials,0.1323,1.47E+11,62398000000,27654000000,5613000000,1.136413,28.635952,161.3525936,219.13,0.736332741,19%,45.56,3.22
V,Financial,0.1884,5.22E+11,80919000000,26494000000,9704000000,0.996195,49.05333,154.8331876,234.09,0.661425894,5%,54.81,3.4
XOM,Energy,0.1014,2.74E+11,3.33E+11,70540000000,-2614000000,1.407065,,no data,63.01,#VALUE!,26%,54.21,1.45
ZM,Consumer Cyclical,0.1538,1.10E+11,5297993000,no data,1391205000,-1.482678,128.43793,no data,388.86,#VALUE!,#VALUE!,71.46,12.28
